Country ;Sektor Risk Checker
Nicaragua;Dairy products and birds' eggs 
Nicaragua;Vegetables and fruit 
Nicaragua;Articles of paper and paperboard (including diapers)
Nicaragua;Edible products and preparations of food
Nicaragua;Polymers of ethylene (in primary forms)
Nicaragua;Polymers of styrene (in primary forms)
Lebanon;Articles of paper and paperboard (including diapers)
Lebanon;Meat of bovine animals (fresh, chilled or frozen)
Lebanon;Dairy products and birds' eggs 
Lebanon;Vegetables and fruit 
Germany;Articles of paper and paperboard (including diapers)
Germany;Meat of bovine animals (fresh, chilled or frozen)
Germany;Dairy products and birds' eggs 
Germany;Vegetables and fruit 
Germany;Articles of paper and paperboard (including diapers)
Germany;Edible products and preparations of food
Germany;Polymers of ethylene (in primary forms)
Germany;Polymers of styrene (in primary forms)
Germany;Articles of paper and paperboard (including diapers)
Germany;Meat of bovine animals (fresh, chilled or frozen)
Germany;Dairy products and birds' eggs 
Germany;Vegetables and fruit 
Bosnia Herzegovina;Articles of paper and paperboard (including diapers)
Bosnia Herzegovina;Polymers of ethylene (in primary forms)
Bosnia Herzegovina;Polymers of styrene (in primary forms)
Bosnia Herzegovina;Edible products and preparations of food
Bosnia Herzegovina;Articles of paper and paperboard (including diapers)
Bosnia Herzegovina;Meat of bovine animals (fresh, chilled or frozen)
Bosnia Herzegovina;Dairy products and birds' eggs 
Bosnia Herzegovina;Vegetables and fruit 
Bosnia Herzegovina;Articles of paper and paperboard (including diapers)
Bosnia Herzegovina;Edible products and preparations of food
Bosnia Herzegovina;Polymers of ethylene (in primary forms)
Bosnia Herzegovina;Polymers of styrene (in primary forms)
Montenegro;Articles of paper and paperboard (including diapers)
Montenegro;Meat of bovine animals (fresh, chilled or frozen)
Montenegro;Dairy products and birds' eggs 
Montenegro;Vegetables and fruit 
Montenegro;Articles of paper and paperboard (including diapers)
Montenegro;Meat of bovine animals (fresh, chilled or frozen)
Montenegro;Dairy products and birds' eggs 
Montenegro;Vegetables and fruit 
Slovakia;Articles of paper and paperboard (including diapers)
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
Slovakia;
